lazy, A2
lorry, A2
meet, A1
itself, A2
lead, A2
lose, A1
meeting, A1
jacket, A1
leader, A2
loss, B1
melt, B2
jam, A2
leadership, B2
lost, A2
member, A1
January, A1
leading, B1
lot, A1
memory, A2
jazz, A2
leaf, B1
loud, A2
mental, B1
jeans, A1
league, B2
loudly, A2
mention, A2
jewellery, A2
lean, B2
love, A1
menu, A1
job, A1
learn, A1
lovely, A2
mess, B1
join, A1
learning, A2
low, A2
message, A1
joke, A2
least, A2
lower, B2
metal, A2
journal, B1
leather, B1
luck, A2
method, A2
journalist, A2
leave, A1
lucky, A2
metre, A1
journey, A1
lecture, A2
lunch, A1
middle, A2
joy, B2
left, A1
lung, B2
midnight, A1
judge, B1
leg, A1
luxury, B1
might, A2
judgement, B2
legal, B1
machine, A1
mild, B1
juice, A1
leisure, B1
mad, B1
mile, A1
July, A1
lemon, A2
magazine, A1
military, B2
milk, A1
naturally, B1
o¡¯clock, A1
pack, A2
million, A1
nature, A2
October, A1
package, B1
mind, A2
near, A1
odd, B1
page, A1
mine, A2
nearly, A2
of, A1
pain, A2
neat, B2
off, A1
painful, B1
mineral, B2
necessarily, B1
offence, B2
paint, A1
minimum, B2
necessary, A2
offend, B2
painter, A2
minister, B2
neck, A2
offensive, B2
painting, A1
minor, B2
need, A1
offer, A2
pair, A1
minority, B2
needle, B1
office, A1
palace, A2
minute, A1
negative, A1
officer, A2
pale, B1
mirror, A2
neighbour, A1
official, B1
pan, B1
miss, A1
neighbourhood, B1
often, A1
panel, B2
missing, A2
neither, A2
oh, A1
pants, A2
mission, B2
nerve, B2
oil, A2
paper, A1
mistake, A1
nervous, A2
OK, A1
paragraph, A1
mix, B1
net, B1
old, A1
parent, A1
mixed, B2
network, A2
old-fashioned, B1
park, A1
mixture, B1
never, A1
on, A1
parking, A2
mobile, A2
nevertheless, B2
once, A1
parliament, B2
model, A1
new, A1
one, A1
part, A1
modern, A1
news, A1
onion, A1
participant, B2
modify, B2
newspaper, A1
online, A1
participate, B1
moment, A1
next, A1
only, A1
particular, A2
Monday, A1
next to, A1
onto, A2
particularly, B1
money, A1
nice, A1
open, A1
partly, B2
monitor, B2
night, A1
opening, B2
partner, A1
monkey, A2
nightmare, B2
operate, B2
party, A1
month, A1
nine, A1
operation, B1
pass, A2
mood, B1
nineteen, A1
opinion, A1
passage, B2
moon, A2
ninety, A1
opponent, B2
passenger, A2
moral, B2
no, A1
opportunity, A2
passion, B1
more, A1
no one, A1
oppose, B2
passport, A1
morning, A1
nobody, A1
opposed, B2
past, A1
most, A1
noise, A2
opposite, A1
path, B1
mostly, A2
noisy, A2
opposition, B2
patient, A2
mother, A1
none, A2
option, A2
pattern, A2
motor, B2
nor, B1
or, A1
pay, A1
motorcycle, A2
normal, A2
orange, A1
payment, B1
mount, B2
normally, A2
order, A1
peace, A2
mountain, A1
north, A1
ordinary, A2
peaceful, B1
mouse, A1
northern, B1
organ, B2
pen, A1
mouth, A1
nose, A1
organization, A2
pencil, A1
move, A1
not, A1
organize, A2
penny, A2
movement, A2
note, A1
organized, B1
pension, B2
movie, A1
nothing, A1
organizer, B1
people, A1
much, A1
notice, A2
origin, B2
pepper, A1
mud, B1
notion, B2
original, A2
per, A2
multiple, B2
novel, A2
originally, B1
per cent, A2
multiply, B2
November, A1
other, A1
percentage, B1
mum, A1
now, A1
otherwise, B2
perfect, A1
murder, B1
nowhere, A2
ought, B1
perfectly, B1
muscle, B1
nuclear, B1
our, A1
perform, A2
museum, A1
number, A1
ours, B1
performance, B1
music, A1
numerous, B2
ourselves, A2
perhaps, A2
musical, A2
nurse, A1
out, A1
period, A1
musician, A2
nut, A2
outcome, B2
permanent, B2
must, A1
obey, B2
outdoor, B1
permission, A2
my, A1
object, A1
outdoors, B1
permit, B2
myself, A2
objective, B2
outer, B2
person, A1
mysterious, B2
obligation, B2
outline, B2
personal, A1
mystery, B1
observation, B2
outside, A1
personality, A2
nail, B1
observe, B2
personally, B1
name, A1
obtain, B2
oven, A2
perspective, B2
narrative, B1
obvious, B1
over, A1
persuade, B1
narrow, A2
obviously, B1
overall, B2
pet, A2
nation, B1
occasion, B1
owe, B2
petrol, A2
national, A2
occasionally, B2
own, A1
phase, B2
native, B1
occur, B1
owner, A2
phenomenon, B2
natural, A1
ocean, A2
pace, B2
philosophy, B2
phone, A1
post, A1
promote, B1
reading, A1
photo, A1
poster, A2
pronounce, A2
ready, A1
photograph, A1
pot, B1
proof, B2
real, A1
photographer, B1
potato, A1
proper, B1
realistic, B2
photography, B1
potential, B2
properly, B1
reality, B1
phrase, A1
pound, A1
property, B1
realize, A2
physical, A2
pour, B1
proposal, B2
really, A1
physics, A2
poverty, B1
propose, B2
reason, A1
piano, A1
powder, B1
prospect, B2
reasonable, B2
pick, A2
power, A2
protect, A2
recall, B2
picture, A1
powerful, B1
protection, B2
receipt, B1
piece, A1
practical, B1
protest, B1
receive, A2
pig, A1
practice, A1
proud, B1
recent, A2
pile, B2
practise, A1
prove, B1
recently, A2
pilot, A2
praise, B2
provide, A2
reception, A2
pin, B1
pray, B1
psychologist, B2
recipe, A2
pink, A1
prayer, B1
psychology, B2
recognize, A2
pipe, B1
predict, A2
pub, A2
